"partner","geo","values","iso2","time","type"
"France","Luxembourg",11,"LU",2014-01-01,"incoming"
"France","Latvia",3,"LV",2014-01-01,"incoming"
"France","Malta",2,"MT",2014-01-01,"incoming"
"France","Netherlands",NA,"NL",2014-01-01,"incoming"
"France","Norway",NA,"NO",2014-01-01,"incoming"
"France","Poland",NA,"PL",2014-01-01,"incoming"
"France","Portugal",NA,"PT",2014-01-01,"incoming"
"France","Romania",0,"RO",2014-01-01,"incoming"
"France","Sweden",0,"SE",2014-01-01,"incoming"
"France","Slovenia",2,"SI",2014-01-01,"incoming"
"France","Slovakia",2,"SK",2014-01-01,"incoming"
"France","United Kingdom",8,"UK",2014-01-01,"incoming"
"Croatia","Austria",NA,"AT",2014-01-01,"incoming"
"Croatia","Belgium",0,"BE",2014-01-01,"incoming"
"Croatia","Bulgaria",0,"BG",2014-01-01,"incoming"
"Croatia","Switzerland",0,"CH",2014-01-01,"incoming"
"Croatia","Cyprus",NA,"CY",2014-01-01,"incoming"
"Croatia","Germany (until 1990 former territory of the FRG)",0,"DE",2014-01-01,"incoming"
"Croatia","Denmark",0,"DK",2014-01-01,"incoming"
"Croatia","Estonia",0,"EE",2014-01-01,"incoming"
"Croatia","Greece",0,"EL",2014-01-01,"incoming"
"Croatia","Spain",NA,"ES",2014-01-01,"incoming"
"Croatia","Finland",NA,"FI",2014-01-01,"incoming"
"Croatia","France",0,"FR",2014-01-01,"incoming"
"Croatia","Croatia",0,"HR",2014-01-01,"incoming"
"Croatia","Hungary",1,"HU",2014-01-01,"incoming"
"Croatia","Ireland",0,"IE",2014-01-01,"incoming"
"Croatia","Italy",NA,"IT",2014-01-01,"incoming"
"Croatia","Liechtenstein",0,"LI",2014-01-01,"incoming"
"Croatia","Lithuania",0,"LT",2014-01-01,"incoming"
"Croatia","Luxembourg",0,"LU",2014-01-01,"incoming"
