"partner","geo","values","iso2","type"
"Hungary","Belgium",1,"BE","incoming"
"Hungary","Bulgaria",44,"BG","incoming"
"Hungary","Switzerland",0,"CH","incoming"
"Hungary","Cyprus",NA,"CY","incoming"
"Hungary","Czech Republic",NA,"CZ","incoming"
"Hungary","Germany (until 1990 former territory of the FRG)",10,"DE","incoming"
"Hungary","Denmark",0,"DK","incoming"
"Hungary","Estonia",0,"EE","incoming"
"Hungary","Greece",0,"EL","incoming"
"Hungary","Spain",NA,"ES","incoming"
"Hungary","Finland",NA,"FI","incoming"
"Hungary","France",2,"FR","incoming"
"Hungary","Croatia",0,"HR","incoming"
"Hungary","Hungary",0,"HU","incoming"
"Hungary","Ireland",0,"IE","incoming"
"Hungary","Iceland",NA,"IS","incoming"
"Hungary","Italy",NA,"IT","incoming"
"Hungary","Liechtenstein",0,"LI","incoming"
"Hungary","Lithuania",0,"LT","incoming"
"Hungary","Luxembourg",0,"LU","incoming"
"Hungary","Latvia",0,"LV","incoming"
"Hungary","Malta",0,"MT","incoming"
"Hungary","Netherlands",NA,"NL","incoming"
"Hungary","Norway",NA,"NO","incoming"
"Hungary","Poland",NA,"PL","incoming"
"Hungary","Portugal",NA,"PT","incoming"
"Hungary","Romania",12,"RO","incoming"
"Hungary","Sweden",0,"SE","incoming"
"Hungary","Slovenia",0,"SI","incoming"
"Hungary","Slovakia",0,"SK","incoming"
"Hungary","United Kingdom",0,"UK","incoming"
"Ireland","Austria",NA,"AT","incoming"
"Ireland","Belgium",0,"BE","incoming"
"Ireland","Bulgaria",0,"BG","incoming"
"Ireland","Switzerland",5,"CH","incoming"
"Ireland","Cyprus",NA,"CY","incoming"
"Ireland","Czech Republic",NA,"CZ","incoming"
"Ireland","Germany (until 1990 former territory of the FRG)",2,"DE","incoming"
"Ireland","Denmark",0,"DK","incoming"
"Ireland","Estonia",0,"EE","incoming"
"Ireland","Greece",0,"EL","incoming"
"Ireland","Spain",NA,"ES","incoming"
"Ireland","Finland",NA,"FI","incoming"
"Ireland","France",0,"FR","incoming"
"Ireland","Croatia",0,"HR","incoming"
"Ireland","Hungary",0,"HU","incoming"
"Ireland","Ireland",0,"IE","incoming"
"Ireland","Iceland",NA,"IS","incoming"
"Ireland","Italy",NA,"IT","incoming"
"Ireland","Liechtenstein",0,"LI","incoming"
"Ireland","Lithuania",0,"LT","incoming"
"Ireland","Luxembourg",0,"LU","incoming"
"Ireland","Latvia",0,"LV","incoming"
"Ireland","Malta",0,"MT","incoming"
"Ireland","Netherlands",NA,"NL","incoming"
"Ireland","Norway",NA,"NO","incoming"
"Ireland","Poland",NA,"PL","incoming"
"Ireland","Portugal",NA,"PT","incoming"
"Ireland","Romania",0,"RO","incoming"
"Ireland","Sweden",0,"SE","incoming"
"Ireland","Slovenia",0,"SI","incoming"
"Ireland","Slovakia",0,"SK","incoming"
"Ireland","United Kingdom",1,"UK","incoming"
"Iceland","Austria",NA,"AT","incoming"
"Iceland","Belgium",0,"BE","incoming"
"Iceland","Bulgaria",0,"BG","incoming"
"Iceland","Switzerland",1,"CH","incoming"
"Iceland","Cyprus",NA,"CY","incoming"
"Iceland","Czech Republic",NA,"CZ","incoming"
"Iceland","Germany (until 1990 former territory of the FRG)",0,"DE","incoming"
"Iceland","Denmark",2,"DK","incoming"
